company,position,status,date_applied,last_response_date,response_state,next_action,next_action_due,folder,last_updated,last_response_summary,notes
Boge Group,Unknown Role,Unknown,,,No response yet,Backfill application details,,applications/Boge Group,2026-02-19,,
Carnival,Fleet Deployment Analyst,Unknown,,,No response yet,Backfill application details,,applications/Carnival,2026-02-19,,
EssenceCorp,Unknown Role,Unknown,,,No response yet,Backfill application details,,applications/EssenceCorp,2026-02-19,,
Kaseya,Unknown Role,Unknown,,,No response yet,Backfill application details,,applications/Kaseya,2026-02-19,,
Primis,Unknown Role,Unknown,,,No response yet,Backfill application details,,applications/Primis,2026-02-19,,
Ramp,Unknown Role,Unknown,,,No response yet,Backfill application details,,applications/Ramp,2026-02-19,,
RedBull,Unknown Role,Unknown,,,No response yet,Backfill application details,,applications/RedBull,2026-02-19,,
RoyalCaribbean,Senior Business Sales Analyst,Unknown,,,No response yet,Backfill application details,,applications/RoyalCaribbean,2026-02-19,,
SS&C Technologies,Sales Executive Hedge Funds and Private Markets,Drafting,,,No response yet,Finalize edits and submit Workday application,2026-02-20,applications/SS&C Technologies/Sales Executive Hedge Funds and Private Markets,2026-02-19,,Workday req R39685
TVM,Unknown Role,Unknown,,,No response yet,Backfill application details,,applications/TVM,2026-02-19,,
